Lat,Lon,Transaction Name,Address,City,Full_Address
45.65276,-73.5685518,Galeries d'Anjou,7999 Blvd Les Galeries D'anjou,Montreal,7999 Blvd Les Galeries D'anjou Montreal
,,273- 293 Louis-Paré ,273- 293 Louis-Paré ,Montréal,273- 293 Louis-Paré  Montréal
43.68349457,-79.41785431,1467 Bathurst Street & 490 St Clair Avenue West,1467 Bathurst Street,Old Toronto,1467 Bathurst Street Old Toronto
43.69503165,-79.70507987,8000 Dixie Road,8000 Dixie Road,Brampton,8000 Dixie Road Brampton
43.46129295,-80.49240998,"The Estates, Heritage Place, Northfield Gardens, Ridgeway & Somerset",188 Margaret Avenue,Kitchener,188 Margaret Avenue Kitchener
43.5022913,-79.7039247,Dundas Street East,Dundas Street East,Oakville,Dundas Street East Oakville
49.0542717,-122.7020187,South Surrey Business Park,2920 188 St,Surrey,2920 188 St Surrey
43.2501131,-79.8100656,Centre on Barton,1227 Barton St E,Hamilton,1227 Barton St E Hamilton
49.27729797,-123.1346512,Martello Tower,1011 Beach Ave,Vancouver,1011 Beach Ave Vancouver
43.6537417,-79.3680252,"261 - 283 Queen Street East, 360 & 410 Richmond Street East and Brigden Place",Brigden Place,Old Toronto,Brigden Place Old Toronto
43.6981765,-79.5801481,100 - 110 Iron Street,100 - 110 Iron Street,Etobicoke,100 - 110 Iron Street Etobicoke
43.69728809,-79.57840157,110 Iron St,110 Iron St,Toronto,110 Iron St Toronto
43.70719977,-79.39796845,ePlace (Residential),Yonge St And Eglinton Ave E,Toronto,Yonge St And Eglinton Ave E Toronto
49.20985413,-123.0978928,Marine Drive Industrial Centre,8310 Prince Edward Street,Vancouver,8310 Prince Edward Street Vancouver
53.59009171,-113.6164169,Northport Business Park,12908 170 St NW,Edmonton,12908 170 St NW Edmonton
45.489582,-74.559841,41 Rue Marie-Curie,41 Rue Marie-Curie,Vaudreuil-Dorion,41 Rue Marie-Curie Vaudreuil-Dorion
43.85621984,-79.66742785,11231 & 11131 Huntington Road,11231 Huntington Road,Vaughan,11231 Huntington Road Vaughan
43.347838,-80.260242,20-65 Ripplewood Road,20 Ripplewood Road,Cambridge,20 Ripplewood Road Cambridge
43.9233,-79.5515,2955 King Rd,2955 King Rd,King,2955 King Rd King
43.88032068,-79.38551617,Major Mackenzie Dr E,Major Mackenzie Dr E,Richmond Hill,Major Mackenzie Dr E Richmond Hill
49.2657322,-123.0821416,Former MEC Headquarters,1077 GREAT NORTHERN WAY,Vancouver,1077 GREAT NORTHERN WAY Vancouver
49.32964325,-123.1719208,Villa Maris,2222 Bellevue Avenue,West Vancouver,2222 Bellevue Avenue West Vancouver
43.6592954,-79.3825676,388 Yonge Street,388 Yonge Street,Old Toronto,388 Yonge Street Old Toronto
45.34689363,-75.80711246,Bayshore Shopping Centre,100 Bayshore Drive,Nepean,100 Bayshore Drive Nepean
,,Toronto Buttonville Municipal Airport,2833 Sixteenth Avenue,Markham,2833 Sixteenth Avenue Markham
43.01424757,-81.24303452,Royal Oaks,1140 Adelaide St N,London,1140 Adelaide St N London
43.79253387,-79.629776,6100 Langstaff Road,6100 Langstaff Road,Vaughan,6100 Langstaff Road Vaughan
43.7808819,-79.7697326,Torbram Road,Torbram Road,Caledon,Torbram Road Caledon
49.2824062,-123.122483,815 Hornby Street,815 Hornby Street,Vancouver,815 Hornby Street Vancouver
43.6689447,-79.3796134,Jarvis Street Apartments,550 Jarvis St,Toronto,550 Jarvis St Toronto
45.4929279,-73.757509,35  Douglas-B. Floreani Street,35  Douglas-B. Floreani Street,Saint-Laurent,35  Douglas-B. Floreani Street Saint-Laurent
43.5381546,-79.88743591,8350 Lawson Rd,8350 Lawson Rd,Milton,8350 Lawson Rd Milton
43.54006986,-79.88538054,8350 Lawson Road,8350 Lawson Road,Milton,8350 Lawson Road Milton
43.73166275,-79.69984436,Confederation Freezers Summerlea ,250 Summerlea Rd,Brampton,250 Summerlea Rd Brampton
43.69154358,-79.50901031,333 Sidney Belsey Crescent,333 Sidney Belsey Crescent,York,333 Sidney Belsey Crescent York
43.82632078,-79.67803931,10223 Highway No. 50,10223 Highway No. 50,Vaughan,10223 Highway No. 50 Vaughan
51.18534313,-114.1721888,53 St & 144 Ave NW,400 Nolanlake Cove NW,Calgary,400 Nolanlake Cove NW Calgary
44.34409325,-79.63566065,Mapleview Dr E,Mapleview Dr E,Barrie,Mapleview Dr E Barrie
43.7169088,-79.8021602,10534 Hurontario Street,10534 Hurontario Street,Brampton,10534 Hurontario Street Brampton
43.6742228,-79.3879152,877 Yonge Street,877 Yonge Street,Old Toronto,877 Yonge Street Old Toronto
,,"357, 359 Richmond Street West & 120 - 128 Peter Street","357, 359 Richmond Street West & 120 - 128 Peter Street",Old Toronto,"357, 359 Richmond Street West & 120 - 128 Peter Street Old Toronto"
43.15655024,-80.33514023,15 Kraemer's Way,15 Kraemer's Way,Brantford,15 Kraemer's Way Brantford
43.8291404,-79.0946962,Brookdale Centre,1105 Kingston Rd,Pickering,1105 Kingston Rd Pickering
43.6452791,-79.3918163,99 Blue Jays Way,99 Blue Jays Way,Old Toronto,99 Blue Jays Way Old Toronto
